"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"269","Sandnes, Norway",58.8516736,5.7367185,58.8116736,58.8916736,5.6967185,5.7767185
"270","Kristiansand, Norway",58.14615,7.9957333,57.98615,58.30615,7.8357333,8.1557333
"271","Steinkjer, Norway",64.0946837,11.7501636241319,63.8609352,64.3302902,11.1651412,12.3779535
"272","Halden, Norway",59.0680555,11.5371910022398,58.8768947,59.2596125,11.1535062,11.7105158
"273","Brumunddal, Norway",60.8866339,10.9368128,60.8466339,60.9266339,10.8968128,10.9768128
"274","Spikkestad, Norway",59.7443236,10.3400476,59.7243236,59.7643236,10.3200476,10.3600476
"275","Rana, Norway",66.43971315,14.3945922974618,66.0955421,66.7838769,13.1882704,15.5333652
"276","Alta, Norway",70.04962755,23.0825349565332,69.6454509,70.4480212,22.1858185,24.2182312
"277","Melhus, Norway",63.18143325,10.308134487484,63.0196857,63.3446323,9.8784072,10.7161636
"278","FrÃ¦na, Norway",62.99886695,6.99223377108633,62.7521446,63.2463973,6.4993041,7.4296574
"279","Skogn, Norway",63.704128,11.1862451,63.684128,63.724128,11.1662451,11.2062451
"280","Ã˜rskog, Norway",61.4129429,6.3783229,61.4029429,61.4229429,6.3683229,6.3883229
"281","Rana, Norway",66.43971315,14.3945922974618,66.0955421,66.7838769,13.1882704,15.5333652
"282","Sande, Norway",59.5837488,10.2343919908804,59.4933454,59.674011,10.0374635,10.3980153
"283","Bergen, Norway",60.3943034,5.3258117,60.1760905,60.5360925,5.1445788,5.6867918
"284","Frogner, Norway",59.9096396,10.6879609280026,59.8836266,59.9354374,10.646244,10.7353668
"285","Brumunddal, Norway",60.8866339,10.9368128,60.8466339,60.9266339,10.8968128,10.9768128
"286","Ganddal, Norway",58.8229843,5.7142597,58.8029843,58.8429843,5.6942597,5.7342597
"287","Varhol, Norway",62.858364,7.226055,62.858314,62.858414,7.226005,7.226105
"288","FrÃ¦na, Norway",62.99886695,6.99223377108633,62.7521446,63.2463973,6.4993041,7.4296574
"289","Stavanger, Norway",58.9680427,5.7324722,58.8080427,59.1280427,5.5724722,5.8924722
"290","Askim, Norway",59.59696925,11.1720143863273,59.5380472,59.6559701,11.0905847,11.2609844
"291","Melhus, Norway",63.18143325,10.308134487484,63.0196857,63.3446323,9.8784072,10.7161636
"292","Steinkjer, Norway",64.0946837,11.7501636241319,63.8609352,64.3302902,11.1651412,12.3779535
"293","Haukelandshallen, Norway",60.36997165,5.35460308090139,60.3696263,60.3704408,5.3535616,5.355473
"294","FrÃ¦na, Norway",62.99886695,6.99223377108633,62.7521446,63.2463973,6.4993041,7.4296574
"295","Sande, Norway",59.5837488,10.2343919908804,59.4933454,59.674011,10.0374635,10.3980153
"296","Trondheim, Norway",63.4305658,10.3951929,63.2705658,63.5905658,10.2351929,10.5551929
"297","Alta, Norway",70.04962755,23.0825349565332,69.6454509,70.4480212,22.1858185,24.2182312
"298","Gressvik, Norway",59.2182472,10.9063889,59.1982472,59.2382472,10.8863889,10.9263889
"299","Halden, Norway",59.0680555,11.5371910022398,58.8768947,59.2596125,11.1535062,11.7105158
"300","Spikkestad, Norway",59.7443236,10.3400476,59.7243236,59.7643236,10.3200476,10.3600476
"301","Grubhei, Norway",66.3210252,14.1930112,66.3209752,66.3210752,14.1929612,14.1930612
"302","Brumunddal, Norway",60.8866339,10.9368128,60.8466339,60.9266339,10.8968128,10.9768128
"303","FrÃ¦na, Norway",62.99886695,6.99223377108633,62.7521446,63.2463973,6.4993041,7.4296574
"304","Varhol, Norway",62.858364,7.226055,62.858314,62.858414,7.226005,7.226105
"305","Hammerfest, Norway",70.80294355,23.3018328267492,70.392674,71.1862281,22.2983382,24.17219
"306","Ulefoss, Norway",59.2839949,9.264519,59.2639949,59.3039949,9.244519,9.284519
"307","Brumunddal, Norway",60.8866339,10.9368128,60.8466339,60.9266339,10.8968128,10.9768128
"308","Frogner, Norway",59.9096396,10.6879609280026,59.8836266,59.9354374,10.646244,10.7353668
"309","Brumunddal, Norway",60.8866339,10.9368128,60.8466339,60.9266339,10.8968128,10.9768128
"310","Oslo, Norway",59.9133301,10.7389701,59.7533301,60.0733301,10.5789701,10.8989701
"311","Spikkestad, Norway",59.7443236,10.3400476,59.7243236,59.7643236,10.3200476,10.3600476
"312","Spikkestad, Norway",59.7443236,10.3400476,59.7243236,59.7643236,10.3200476,10.3600476
"313","Bergen, Norway",60.3943034,5.3258117,60.1760905,60.5360925,5.1445788,5.6867918
"314","Askim, Norway",59.59696925,11.1720143863273,59.5380472,59.6559701,11.0905847,11.2609844
"315","Grubhei, Norway",66.3210252,14.1930112,66.3209752,66.3210752,14.1929612,14.1930612
"316","FrÃ¦na, Norway",62.99886695,6.99223377108633,62.7521446,63.2463973,6.4993041,7.4296574
"317","Sande, Norway",59.5837488,10.2343919908804,59.4933454,59.674011,10.0374635,10.3980153
"318","Te Awamutu, New Zealand",-38.0090215,175.3259275,-38.0490215,-37.9690215,175.2859275,175.3659275
"319","Wellington, New Zealand",-41.2887467,174.7772092,-41.4487467,-41.1287467,174.6172092,174.9372092
"320","Kerikeri, New Zealand",-35.2297666,173.9529996,-35.2697666,-35.1897666,173.9129996,173.9929996
"321","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"322","Kerikeri, New Zealand",-35.2297666,173.9529996,-35.2697666,-35.1897666,173.9129996,173.9929996
"323","Wellington, New Zealand",-41.2887467,174.7772092,-41.4487467,-41.1287467,174.6172092,174.9372092
"324","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"325","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"326","Timaru, New Zealand",-44.3930254,171.2509786,-44.4330254,-44.3530254,171.2109786,171.2909786
"327","Dargaville, New Zealand",-35.9382609,173.8630341,-35.9782609,-35.8982609,173.8230341,173.9030341
"328","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"329","Ashburton, New Zealand",-43.9024396,171.7503327,-43.9424396,-43.8624396,171.7103327,171.7903327
"330","Christchurch, New Zealand",-43.530955,172.6366455,-43.6292014,-43.3890866,172.3930248,172.8216267
"331","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"332","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"333","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"334","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"335","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"336","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"337","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"338","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"339","Kerikeri, New Zealand",-35.2297666,173.9529996,-35.2697666,-35.1897666,173.9129996,173.9929996
"340","Dargaville, New Zealand",-35.9382609,173.8630341,-35.9782609,-35.8982609,173.8230341,173.9030341
"341","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"342","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"343","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"344","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"345","Kerikeri, New Zealand",-35.2297666,173.9529996,-35.2697666,-35.1897666,173.9129996,173.9929996
"346","Christchurch, New Zealand",-43.530955,172.6366455,-43.6292014,-43.3890866,172.3930248,172.8216267
"347","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"348","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"349","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"350","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"351","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"352","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"353","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"354","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"355","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"356","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"357","Canterbury, New Zealand",-43.49417615,171.809844758414,-45.0809294,-41.9073833,169.5424975,174.2390078
"358","Whangarei, New Zealand",-35.7283469,174.3206488,-35.8883469,-35.5683469,174.1606488,174.4806488
"359","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"360","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"361","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"362","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"363","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"364","Te Awamutu, New Zealand",-38.0090215,175.3259275,-38.0490215,-37.9690215,175.2859275,175.3659275
"365","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"366","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"367","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"368","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"369","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"370","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"371","Balclutha, New Zealand",-46.24078,169.736157,-46.28078,-46.20078,169.696157,169.776157
"372","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"373","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"374","Invercargill, New Zealand",-46.4121229,168.3483269,-46.5721229,-46.2521229,168.1883269,168.5083269
"375","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"376","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"377","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"378","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"379","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"380","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"381","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"382","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"383","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"384","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"385","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"386","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"387","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"388","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"389","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"390","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"391","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"392","Wellington, New Zealand",-41.2887467,174.7772092,-41.4487467,-41.1287467,174.6172092,174.9372092
"393","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"394","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"395","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"396","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"397","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"398","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"399","Tauranga, New Zealand",-37.6859006,176.167505,-37.8459006,-37.5259006,176.007505,176.327505
"400","Te Awamutu, New Zealand",-38.0090215,175.3259275,-38.0490215,-37.9690215,175.2859275,175.3659275
"401","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"402","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"403","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"404","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"405","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"406","Christchurch, New Zealand",-43.530955,172.6366455,-43.6292014,-43.3890866,172.3930248,172.8216267
"407","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"408","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"409","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"410","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"411","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"412","Te Awamutu, New Zealand",-38.0090215,175.3259275,-38.0490215,-37.9690215,175.2859275,175.3659275
"413","Mount Maunganui, New Zealand",-37.6380218,176.1838841,-37.6580218,-37.6180218,176.1638841,176.2038841
"414","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"415","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"416","Hamilton, New Zealand",-37.7876214,175.2813186,-37.9476214,-37.6276214,175.1213186,175.4413186
"417","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"418","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"419","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"420","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"421","Dunedin, New Zealand",-45.8739282,170.503488,-46.0339282,-45.7139282,170.343488,170.663488
"422","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"423","Christchurch, New Zealand",-43.530955,172.6366455,-43.6292014,-43.3890866,172.3930248,172.8216267
"424","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"425","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"426","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"427","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
"428","Auckland, New Zealand",-36.8534665,174.7655514,-37.0134665,-36.6934665,174.6055514,174.9255514
